event_id,event_type,trc_file,passed,reason,frames_sent,on_count,off_count,triggered_count,event_name
1,state,kia\1\toggle.trc,True,"ON=2, OFF=2, expected ON in [1..5] for toggle.trc",4848,2,2,0,
1,state,kia\1\open.trc,True,"ON=1, OFF=0, expected ON exactly 1 for open.trc",9220,1,0,0,
2,state,kia\2\toggle.trc,True,"ON=2, OFF=2, expected ON in [1..5] for toggle.trc",9851,2,2,0,
2,state,kia\2\open.trc,True,"ON=1, OFF=0, expected ON exactly 1 for open.trc",9076,1,0,0,
4,state,kia\4\toggle.trc,True,"ON=2, OFF=2, expected ON in [1..5] for toggle.trc",5702,2,2,0,
4,state,kia\4\open.trc,True,"ON=1, OFF=0, expected ON exactly 1 for open.trc",7598,1,0,0,
5,state,kia\5\toggle.trc,True,"ON=2, OFF=2, expected ON in [1..5] for toggle.trc",4934,2,2,0,
5,state,kia\5\open.trc,True,"ON=1, OFF=0, expected ON exactly 1 for open.trc",9081,1,0,0,
6,state,kia\6\toggle.trc,True,"ON=1, OFF=1, expected ON in [1..5] for toggle.trc",15209,1,1,0,
6,state,kia\6\open.trc,True,"ON=1, OFF=0, expected ON exactly 1 for open.trc",7590,1,0,0,
16,button,kia\16\button.trc,True,"triggered=3, expected exactly 3",1347,3,3,3,door_handle
17,button,kia\17\button.trc,True,"triggered=3, expected exactly 3",1645,3,3,3,trunk_button
34,button,kia\34\button.trc,False,"triggered=0, expected exactly 3",1214,0,0,0,
35,button,kia\35\button.trc,False,"triggered=0, expected exactly 3",1868,0,0,0,
36,button,kia\36\button.trc,True,"triggered=3, expected exactly 3",1018,3,3,3,button_windows_3
37,button,kia\37\button.trc,True,"triggered=3, expected exactly 3",1383,3,3,3,button_windows_4
38,button,kia\38\button.trc,True,"triggered=3, expected exactly 3",900,3,3,3,button_windows_5
39,button,kia\39\button.trc,True,"triggered=3, expected exactly 3",2033,3,3,3,button_windows_6
40,button,kia\40\button.trc,True,"triggered=3, expected exactly 3",1432,3,3,3,button_windows_7
41,button,kia\41\button.trc,True,"triggered=3, expected exactly 3",1664,3,3,3,button_windows_8
